,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag
109,-853,49874,49875,100.3,100.85,,95.3,-469.1499999999976,-0.0054835493519440615,2016-07-08 09:36:00,2016-07-08 09:37:00,0 days 00:01:00,
110,627,50257,50636,105.5,105.58,104.76,111.72799999999998,50.15999999999893,0.0007582938388626115,2016-07-11 09:36:00,2016-07-11 16:00:00,0 days 06:24:00,
111,1411,50642,50675,107.56,107.23,,112.05950000000003,-465.6299999999976,-0.0030680550390479455,2016-07-12 09:36:00,2016-07-12 10:09:00,0 days 00:33:00,
112,-590,51028,51096,107.2,107.99,,97.42090000000005,-466.0999999999953,-0.007369402985074602,2016-07-13 09:36:00,2016-07-13 10:44:00,0 days 01:08:00,
113,993,52563,52574,109.45,108.98,,113.13849999999991,-466.7099999999989,-0.004294198264047533,2016-07-19 09:36:00,2016-07-19 09:47:00,0 days 00:11:00,
114,-1100,52928,52934,110.33,110.75,,106.31700000000004,-462.0000000000019,-0.00380676153358106,2016-07-20 09:36:00,2016-07-20 09:42:00,0 days 00:06:00,
115,-1501,53301,53305,112.8056,113.09,,108.19259999999991,-426.88440000000764,-0.002521151432198554,2016-07-21 09:36:00,2016-07-21 09:40:00,0 days 00:04:00,
116,-605,53685,53711,111.6689,112.31,,105.05799999999992,-387.8655000000052,-0.0057410792082666084,2016-07-22 09:36:00,2016-07-22 10:02:00,0 days 00:26:00,
117,-1184,54821,54842,116.26,116.64,,112.17000000000003,-449.9199999999946,-0.003268536039910508,2016-07-27 09:36:00,2016-07-27 09:57:00,0 days 00:21:00,
118,1275,55592,55592,118.32,118.0,,124.03999999999994,-407.9999999999913,-0.0027045300878971723,2016-07-29 09:36:00,2016-07-29 09:36:00,0 days 00:00:00,
119,-1047,55973,55984,118.15,118.5,,114.59000000000006,-366.449999999994,-0.0029623360135420107,2016-08-01 09:36:00,2016-08-01 09:47:00,0 days 00:11:00,
120,583,57493,57866,121.48,122.71,120.7501,126.57900000000002,717.089999999994,0.010125123477115583,2016-08-05 09:36:00,2016-08-05 16:00:00,0 days 06:24:00,
121,700,58252,58616,123.02,123.08,122.4,128.51839999999999,42.00000000000159,0.0004877255730775243,2016-08-09 09:36:00,2016-08-09 16:00:00,0 days 06:24:00,
122,656,59004,59037,124.07,123.4,,129.36,-439.5199999999918,-0.005400177319255128,2016-08-11 09:36:00,2016-08-11 10:09:00,0 days 00:33:00,
123,670,59374,59727,123.4,123.97,122.74,129.6800000000001,381.89999999999543,0.004619124797406782,2016-08-12 09:36:00,2016-08-12 16:00:00,0 days 06:24:00,
124,1110,59733,60086,124.76,125.65,124.38,128.769,987.9000000000007,0.0071336966976596194,2016-08-15 09:36:00,2016-08-15 16:00:00,0 days 06:24:00,
125,-903,60092,60454,124.4614,123.52,125.0,119.91010000000006,850.0842000000014,0.007563790862066488,2016-08-16 09:36:00,2016-08-16 16:00:00,0 days 06:24:00,
126,-851,60460,60701,123.1632,123.77,,115.64000000000009,-516.3867999999937,-0.004926796315782633,2016-08-17 09:36:00,2016-08-17 13:41:00,0 days 04:05:00,
127,1014,60844,60849,124.358,123.83,,130.37,-535.3920000000059,-0.004245806461988799,2016-08-18 09:36:00,2016-08-18 09:41:00,0 days 00:05:00,
128,-960,61212,61260,123.2625,123.74,,117.28110000000005,-458.39999999999236,-0.00387384646587563,2016-08-19 09:36:00,2016-08-19 10:24:00,0 days 00:48:00,
129,-965,61587,61596,123.03,123.64,,118.78830000000002,-588.6499999999994,-0.004958140290985957,2016-08-22 09:36:00,2016-08-22 09:45:00,0 days 00:09:00,
130,956,62301,62317,125.1,124.65,,130.08599999999996,-430.19999999998913,-0.00359712230215814,2016-08-24 09:36:00,2016-08-24 09:52:00,0 days 00:16:00,
131,-968,62665,62667,121.35,121.91,,118.0400000000001,-542.0800000000022,-0.004614750721054772,2016-08-25 09:36:00,2016-08-25 09:38:00,0 days 00:02:00,
